종목명,연도,수익률,종합등급,환경,사회,지배구조,KOSPI,ROA,ROE
대호에이엘,2016,4.517813593149267,B,B,B,B+,1987.0032527272294,-2.541866799812475,-9.950160693322031
대호에이엘,2017,-10.72596432285925,B,B,B,B+,2310.368424918147,5.518304886065808,18.09359467309457
대호에이엘,2018,180.25725592485637,B,C,B,B+,2325.0094329333697,0.8603872340613236,2.6104838352128907
대호에이엘,2019,12.59038126650136,C,B,C,D,2106.053582416317,-4.333891552231303,-13.302032665850945
대호에이엘,2020,-49.63029453015429,B,B,C,B,2220.068017282794,0.6449970338664764,2.3801583169790663
대호에이엘,2021,42.11273723603315,B,B,C,B,3111.2176543205014,-2.0980724459282367,-4.408152297812473
더존비즈온,2011,-47.40219090844694,B,B,B,E,1984.5420603887271,14.380947459158392,37.237389725776985
더존비즈온,2012,-5.282815082921443,E,C,B,E,1930.3727023216986,2.568850143833336,6.01168714945916
더존비즈온,2013,27.46685262758963,B,C,B,B,1960.4997163224316,7.0865254829101625,15.103748292036864
더존비즈온,2014,-16.514741436802083,B,C,B,B,1982.1581239038585,5.195669283289323,9.297716258747476
더존비즈온,2015,65.7934252451873,B,B,B,B,2011.8487494684034,10.153362414453047,16.3289627091058
더존비즈온,2016,37.06609472110314,B,B,B,B,1987.0032527272294,11.909366400894244,18.68760757188846
더존비즈온,2017,31.196950322279736,B,B,B+,B,2310.368424918147,14.464482090671446,21.74908855819711
더존비즈온,2018,77.78465438900845,B,B,B,B,2325.0094329333697,15.25453010501102,23.33908798838048
더존비즈온,2019,14.666788576919988,C,D,B,C,2106.053582416317,7.018523292750473,14.056434323216276
더존비즈온,2020,65.28792570269195,B,C,B+,B,2220.068017282794,7.201024034660707,14.548766653648311
더존비즈온,2021,-8.510326465307728,B,C,B,B,3111.2176543205014,6.043853287862598,10.84529104411848
덕성,2011,-26.063056202962954,E,B,E,E,1984.5420603887271,2.828221891407038,4.457512978536101
덕성,2012,7.283680656181124,B,B,B,B,1930.3727023216986,0.2526681767963567,0.4310591663124246
덕성,2013,57.34628499883429,B,B,B,B,1960.4997163224316,4.255427418255523,6.985777116045538
덕성,2014,-26.00192113701634,B,C,B,B,1982.1581239038585,0.7757663641805546,1.212344778774202
덕성,2015,176.44379110521223,B,C,B,B,2011.8487494684034,0.5370794804720883,0.8227773766161203
덕성,2016,8.885306898362666,B,C,B,B,1987.0032527272294,2.7186544121895952,4.465209752591071
덕성,2017,-45.32611818159676,B,B,B,B,2310.368424918147,0.4961281284288502,0.8006013885964727
덕성,2018,-20.480725070103134,B,C,B,B,2325.0094329333697,-2.0108071218620305,-3.217473444491888
덕성,2019,-13.78498537883388,B,B,C,B,2106.053582416317,0.1796827183695343,0.2934600263177512
덕성,2020,44.21264291768805,B,B,C,B+,2220.068017282794,3.4481032766942947,5.468131541822982
덕성,2021,272.6667818873142,C,C,C,B+,3111.2176543205014,4.727315912517712,6.968822009904223
덕양산업,2011,-3.0607061476129904,E,C,E,E,1984.5420603887271,1.319262906371993,4.9142735884219055
덕양산업,2012,65.78786390619211,B,B,B,B,1930.3727023216986,3.024068793516228,12.833412845024275
덕양산업,2013,7.8638030801211345,B,C,B,B,1960.4997163224316,0.5776818135220834,2.3592894340596
덕양산업,2014,76.07743097238897,B,C,B,B,1982.1581239038585,1.528267519189361,5.454740891001859
덕양산업,2015,-13.584720557390217,B,B,B,B,2011.8487494684034,0.6418530556322524,2.949904176682216
덕양산업,2016,-23.50618770113273,B,B,B,B,1987.0032527272294,-0.2267851404803885,-1.1037859307494604
덕양산업,2017,-15.88731278840494,B,B,B,B,2310.368424918147,0.3107560681891146,1.6022320172965892
덕양산업,2018,-8.55116711307502,B,C,B,B,2325.0094329333697,-0.7963850695982331,-5.562397320971023
덕양산업,2019,-12.461003291832451,B,B,B,B,2106.053582416317,-3.222598296918868,-26.251282516364245
덕양산업,2020,8.668129080238817,B,B,B,B,2220.068017282794,-1.7536684577726878,-16.1304880077042
덕양산업,2021,134.47532627696347,C,C,C,B,3111.2176543205014,0.3059966120363799,2.511993598623461
도화엔지니어링,2011,8.302599074492889,,,,,1984.5420603887271,9.42604393669447,15.524925127432503
도화엔지니어링,2012,-31.2980665473334,B,B+,B,B,1930.3727023216986,5.024143467363896,8.044279510131265
도화엔지니어링,2013,0.7770359912513625,B,B+,B,B,1960.4997163224316,1.627606937084929,2.51272380662001
도화엔지니어링,2014,-12.217198541523688,B,B,B,B,1982.1581239038585,0.9133655577500838,1.4272128107071398
도화엔지니어링,2015,-10.046175958835812,B,B,B,B,2011.8487494684034,5.6759841046996975,7.737326620109131
도화엔지니어링,2016,10.576256374976678,B,B+,B,B,1987.0032527272294,0.4094621580873611,0.5588015617629141
도화엔지니어링,2017,3.239878593384904,B,B+,B,B,2310.368424918147,3.564789314501513,4.968102302099637
도화엔지니어링,2018,39.60059019824829,B+,B+,B,B,2325.0094329333697,3.66974164716292,5.546100700160549
도화엔지니어링,2019,47.8829862790219,B,B,C,B+,2106.053582416317,4.250403415968285,6.882249111606574
도화엔지니어링,2020,-22.03251285925192,B+,B,B,B+,2220.068017282794,3.949392749039748,6.945547272804845
도화엔지니어링,2021,6.360984881034826,B+,B,B,B+,3111.2176543205014,3.001288397160753,5.624327912891138
동국제강,2011,34.35281655202467,B,B+,B,B,1984.5420603887271,1.7607331801386925,5.679218479671315
동국제강,2012,-47.22919473812935,B+,B+,B,B+,1930.3727023216986,0.0698385830179427,0.2296361237773048
동국제강,2013,-26.906374393389463,B+,B+,B,B+,1960.4997163224316,-1.2997945658839918,-4.521238175208643
동국제강,2014,-27.17087952211096,B+,B+,B,B+,1982.1581239038585,-3.30319719974297,-11.214782214439774
동국제강,2015,-25.38773128568552,B,C,B,B+,2011.8487494684034,-3.253997856703557,-9.991217395225634
동국제강,2016,32.1515193290772,B,C,B+,B+,1987.0032527272294,1.119043532144377,3.091540624293867
동국제강,2017,49.489079403999895,B,C,B+,B+,2310.368424918147,0.0783140212710427,0.2012125318951869
동국제강,2018,-24.448199285909368,B,B,B,B+,2325.0094329333697,-5.313609906470574,-14.982549503545613
동국제강,2019,-25.189007105943773,B,B,B,B,2106.053582416317,-1.5019489249086406,-4.199844939613321
동국제강,2020,-17.76467626350129,B+,B+,A,B,2220.068017282794,1.2818067398692672,3.251296251035371
동국제강,2021,199.67823578343743,B+,B+,B,B+,3111.2176543205014,8.818852181608106,20.075955593663387
동남합성,2011,47.211459251492506,E,C,E,E,1984.5420603887271,5.310419675286328,7.469559659493042
동남합성,2012,94.6184059123385,B,C,B,B,1930.3727023216986,3.314178288208383,3.790790649593338
동남합성,2013,-25.53047392771315,B,C,B,B,1960.4997163224316,3.512421388057367,4.031073797470961
동남합성,2014,-5.66898451574237,B,C,B,B,1982.1581239038585,3.3978841521521925,4.561453947415018
동남합성,2015,16.423441439366005,B,C,B,B,2011.8487494684034,5.06783227362456,6.450074926731187
동남합성,2016,39.72846691110761,B,C,B,B,1987.0032527272294,7.7178316716140785,10.648941849047462
동남합성,2017,6.54865800897555,B,C,B,B,2310.368424918147,1.7665982651082546,3.1648827664598445
동남합성,2018,3.5282155979198926,B,C,B,B,2325.0094329333697,6.462680819515429,9.521004604557316
동남합성,2019,9.078657003538426,C,D,C,B,2106.053582416317,18.75104020344121,23.93788685755092
동남합성,2020,33.56471786543296,C,D,C,B,2220.068017282794,12.23494149733459,20.293076247409022
동남합성,2021,78.59299875580675,C,D,C,B,3111.2176543205014,12.942161834011308,25.347862326887043
동방,2011,25.88006111244177,B,B,B,B,1984.5420603887271,,
동방,2012,66.54788509920265,B,C,B,B,1930.3727023216986,,
동방,2013,-45.140886467587606,B,B,B,B,1960.4997163224316,-3.988971542837965,-19.72458919829493
동방,2014,-24.04204525980642,B,C,B,B,1982.1581239038585,-2.17375623374446,-12.229627146121672
동방,2015,20.111996412317247,B,B,B,B,2011.8487494684034,-2.721695673184436,-14.797815983448537
동방,2016,-3.511037137715245,B,B,B,B,1987.0032527272294,2.4763815585957136,9.77607623596118
동방,2017,-18.658104219701755,B,B,B,B,2310.368424918147,-1.7235076914301792,-7.381459102299025
동방,2018,-6.451227747185984,B,C,B,B,2325.0094329333697,2.8517219773373648,12.13724355084879
동방,2019,3.662080135207191,C,B,C,C,2106.053582416317,-1.3795770369852045,-7.496872436286786
동방,2020,10.154310929751166,C,B,C,C,2220.068017282794,2.542953177380507,11.472834856433671
동방,2021,195.59149708605136,C,B,D,B,3111.2176543205014,-0.0676874035273906,-0.2735452424912097
동방아그로,2011,-0.0939563886290684,B,B,B,E,1984.5420603887271,4.293295819860599,5.691615774399359
동방아그로,2012,1.5683778364787848,B,B,B,B,1930.3727023216986,4.167387305429214,5.570488662254462
동방아그로,2013,-0.606306821997693,B,B,B,B,1960.4997163224316,4.087429955844128,5.463090397113374
동방아그로,2014,1.3626527072256422,B,B,B,B,1982.1581239038585,4.708122724339333,6.333764814554027
동방아그로,2015,10.14308717700203,B,B,B,B,2011.8487494684034,3.3624033708886394,4.634568811523959
동방아그로,2016,-2.334327008412418,B,B,B,B,1987.0032527272294,3.460862083623721,4.637388373679052
동방아그로,2017,1.1130953753093031,B,B,B,B,2310.368424918147,3.2860777880356693,4.555974399407156
동방아그로,2018,4.549953330423007,B,C,B,B,2325.0094329333697,3.313472656341625,4.627306107245756
동방아그로,2019,-5.05029795110814,C,D,C,B,2106.053582416317,3.333392376640097,4.715273572197029
동방아그로,2020,-10.212567519667626,C,D,C,B,2220.068017282794,3.433824030652389,4.7472757106716665
동방아그로,2021,18.692515230356133,C,D,C,B+,3111.2176543205014,3.426762332932764,4.762671490425951
동부건설,2011,-10.037470389786618,B,B+,B,B,1984.5420603887271,1.470503008780758,8.957453617468646
동부건설,2012,-36.16118959167826,B,B+,B,B,1930.3727023216986,-5.178201277798542,-29.66034330682426
동부건설,2013,-9.23996270643065,B,B,B,B,1960.4997163224316,-7.090648861293121,-50.878285524099695
동부건설,2014,-45.05260406819973,B,B,B,B,1982.1581239038585,-27.468793045012944,-959.258349979224
동부건설,2015,-53.87043693071596,,,,,2011.8487494684034,-11.9462418980035,-101.71487597212568
동부건설,2016,16.292564114601895,,,,,1987.0032527272294,7.869664851785616,21.212147132157455
동부건설,2017,-13.82472375332645,,,,,2310.368424918147,15.244199076220562,31.662964862617017
