year,수익률,종목명
2012,13.776475827326106,GS리테일
2013,11.767680687963233,GS리테일
2014,-14.852104724979764,GS리테일
2015,80.66783538593943,GS리테일
2016,12.214519918666777,GS리테일
2017,-9.153233409185601,GS리테일
2018,-18.97205998622391,GS리테일
2019,2.5827771475992467,GS리테일
2020,-7.648055433219625,GS리테일
2021,-1.3016453797554783,GS리테일
2022,-20.77269452867938,GS리테일
2010,,HDC
2011,-12.932905250316495,HDC
2012,-17.97831258432182,HDC
2013,4.856224210931304,HDC
2014,42.90865086532965,HDC
2015,62.603202751528016,HDC
2016,-18.149045610345194,HDC
2017,-5.282706088630318,HDC
2018,-2.1683515349700255,HDC
2019,-34.23236809904743,HDC
2020,-33.2563624773855,HDC
2021,17.55860382554726,HDC
2022,-32.3872716059396,HDC
2010,,HDC현대EP
2011,40.38203775307665,HDC현대EP
2012,-4.1806852595016375,HDC현대EP
2013,14.284777133128191,HDC현대EP
2014,14.611197675842536,HDC현대EP
2015,22.53282724603789,HDC현대EP
2016,5.368013290787088,HDC현대EP
2017,-19.086163608266226,HDC현대EP
2018,-21.417932325701862,HDC현대EP
2019,-18.690466136671457,HDC현대EP
2020,-4.7069582950810425,HDC현대EP
2021,31.31719027241415,HDC현대EP
2022,-18.897629560528507,HDC현대EP
2011,,HSD엔진
2012,-39.78687992198623,HSD엔진
2013,-22.044517530410623,HSD엔진
2014,-7.483180546856039,HSD엔진
2015,-29.932079228847076,HSD엔진
2016,-33.329125545809205,HSD엔진
2017,6.273773984444597,HSD엔진
2018,22.454217651942777,HSD엔진
2019,-13.754720741787308,HSD엔진
2020,13.433107277745048,HSD엔진
2021,79.67203566580012,HSD엔진
2022,7.4050730732097,HSD엔진
2010,,JB금융지주
2011,-15.389771866282874,JB금융지주
2012,-18.050882881346674,JB금융지주
2013,33.10800172951214,JB금융지주
2014,23.108172063726595,JB금융지주
2015,-8.813465320726966,JB금융지주
2016,-9.780049523322065,JB금융지주
2017,6.641581864475765,JB금융지주
2018,0.15998349428432146,JB금융지주
2019,-6.514320347166325,JB금융지주
2020,-13.367492214457144,JB금융지주
2021,50.91128813475721,JB금융지주
2022,12.342554921923753,JB금융지주
2016,,JW생명과학
2017,24.230418348770733,JW생명과학
2018,47.24285261958059,JW생명과학
2019,-9.757411326716149,JW생명과학
2020,-17.918384622279902,JW생명과학
2021,-1.5508172491740635,JW생명과학
2022,-22.99549168763567,JW생명과학
2010,,JW중외제약
