,종목명,연도,누적수익률,종합등급,환경,사회,지배구조,코스피누적수익률,ROA,ROE,tobinQ
5178,케이씨씨,2021,-0.5771467577289635,4.0,4.0,6.0,3.0,47.72737409420227,-0.4131666562160503,-0.989778768506768,
5179,케이씨티시,2011,-19.514670940118105,3.0,3.0,3.0,3.0,np.NAN,0.0980500303869923,0.180129524971918,
5180,케이씨티시,2012,-25.12199270380946,3.0,3.0,3.0,3.0,-2.7295646259277606,1.1613937884178331,2.3177303261237,
5181,케이씨티시,2013,3.206422363666328,3.0,2.0,3.0,3.0,-1.211480701073464,1.349818615061473,2.6952816180111445,
5182,케이씨티시,2014,82.5108611169189,3.0,3.0,3.0,3.0,2.682664416041347,5.126043783655432,10.365920292258386,
5183,케이씨티시,2015,90.33235931640492,3.0,2.0,3.0,3.0,2.619180850599334,2.49535716743658,5.273758564690348,
5184,케이씨티시,2016,13.789556099081924,3.0,3.0,4.0,3.0,0.2444370489387726,2.405051028001928,4.6090660264211625,
5185,케이씨티시,2017,-10.844298818250165,3.0,2.0,4.0,3.0,14.838077441389274,2.425461043618886,4.878443790518579,
5186,케이씨티시,2018,-18.641694338283944,3.0,2.0,4.0,3.0,17.010851881707566,1.9338113896799929,3.8345355091439175,
5187,케이씨티시,2019,7.4879486866682,3.0,3.0,4.0,3.0,-8.843387933206737,1.9334292245731293,4.157841489086776,
5188,케이씨티시,2020,-5.507179869549272,3.0,3.0,3.0,3.0,-4.513590962862269,3.125635476321708,6.592584683653803,
5189,케이씨티시,2021,109.50418351135812,3.0,3.0,2.0,3.0,47.72737409420227,4.005840730648941,9.308559779787034,
5190,케이티,2011,-15.777234121615946,5.0,6.0,5.0,5.0,np.NAN,4.098074610798946,10.487350700588914,
5191,케이티,2012,-26.9293759455816,5.0,6.0,5.0,5.0,-2.7295646259277606,4.211253185552377,11.029797382538751,
5192,케이티,2013,-6.959942744525238,5.0,6.0,5.0,5.0,-1.211480701073464,-0.1729038581829647,-0.4683359619305537,
5193,케이티,2014,-4.814843431596882,5.0,6.0,4.0,5.0,2.682664416041347,-2.8605822054103,-8.194676839106899,
5194,케이티,2015,-17.07276211901888,5.0,6.0,4.0,5.0,2.619180850599334,2.151542277518785,5.189181013631621,
5195,케이티,2016,-4.145399722853238,5.0,5.0,5.0,5.0,0.2444370489387726,2.715113516601511,6.455037561674322,
5196,케이티,2017,5.186625028523317,5.0,5.0,4.0,6.0,14.838077441389274,1.8886942915638976,4.250571510756513,
5197,케이티,2018,-5.842171431125509,5.0,5.0,5.0,5.0,17.010851881707566,2.3682283574768017,5.174737022173225,
5198,케이티,2019,-11.091766524597825,4.0,5.0,3.0,4.0,-8.843387933206737,1.928025797726457,4.385944576326956,
5199,케이티,2020,-17.15282118420215,6.0,5.0,5.0,6.0,-4.513590962862269,2.089538981678301,4.523004407375192,
