,종목코드,종목명,2011_1분기,2011_2분기,2011_3분기,2011_4분기,2012_1분기,2012_2분기,2012_3분기,2012_4분기,2013_1분기,2013_2분기,2013_3분기,2013_4분기,2014_1분기,2014_2분기,2014_3분기,2014_4분기,2015_1분기,2015_2분기,2015_3분기,2015_4분기,2016_1분기,2016_2분기,2016_3분기,2016_4분기,2017_1분기,2017_2분기,2017_3분기,2017_4분기,2018_1분기,2018_2분기,2018_3분기,2018_4분기,2019_1분기,2019_2분기,2019_3분기,2019_4분기,2020_1분기,2020_2분기,2020_3분기,2020_4분기,2021_1분기,2021_2분기,2021_3분기,2021_4분기,2022_1분기
1034,078780,아이디에스,32086298512.857143,28207426526.785717,23515904303.846157,26369247962.307693,43622738216.07143,46469082557.85714,39721908110.0,40351046598.181816,39647421067.85714,31440303333.57143,25200012869.090908,17648914621.666668,17457054058.57143,20933919295.42857,13461120271.428572,11183708753.166666,12067182208.928572,12541280330.142857,97944684750.0,97944684750.0,97944684750.0,,,,,,,,,,,,,,,,,,,,,,,,
1035,026260,아이디엔,13935222441.071428,14451777726.928572,11946293352.153849,9719766029.461538,12536509532.642857,9972708749.142857,15906872578.214285,9898998753.181818,9861974266.714285,5365138079.0,4569447566.818182,4599634795.333333,15155324092.5,21959835102.857143,20679654980.0,95479867727.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,060570,아이리버,49493587770.0,63186444640.0,41744333607.30769,45937646814.23077,54789881465.0,44621735730.0,55583402820.0,62745226635.0,82332454077.5,51726519955.0,43298081715.0,38430423762.5,47408287465.0,107463627662.5,145095981465.7143,152772198343.33334,195747809074.2857,174451865391.42856,189349920143.3333,164239741873.33334,134035710544.28572,140521488567.14285,122278723452.72728,116909736884.6154,141987452092.85715,153337563632.85715,270179244317.14285,276693181613.3333,381849157040.0,418146150323.0769,476336481135.4545,387657891722.5,508520262782.8571,,,,,,,,,,,,
1037,122900,아이마켓코리아,904488477285.7142,640048190142.8572,632602784000.0,590576724923.0769,665208528142.8572,698584486714.2858,993063136571.4286,1000531882545.4546,867133077500.0,807826566500.0,903648243363.6364,943662438916.6666,1170469193285.7144,1334909973785.7144,1151727308857.1428,1006413520000.0,916041693714.2858,1122330791500.0,1098218800916.6666,922995018416.6666,691395818714.2858,443771879928.5714,464159222454.5455,382105352923.0769,446210892285.7143,489471269357.1429,360100919171.4286,332056556033.3333,360460352571.4286,259621509692.30768,238990535236.36365,253789933183.3333,350113805414.2857,419510125428.5714,400768241000.0,375607903000.0,286725157942.8571,308085771428.5714,281867114630.7692,331163684600.0,298471785714.2857,377865280714.2857,407527949454.5455,369002964615.38464,348018102142.8571
1038,056010,아이스테이션,17704382952.0,12203666094.0,7005186426.0,7506073529.769231,3949232616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,068940,아이씨코리아,27476700755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,052860,아이앤씨,95763710384.28572,81910806770.0,64944005700.0,76133217440.0,79384576440.0,54520903910.71429,58779195728.57143,51746636860.90909,48667598741.42857,57681393329.28571,67949169642.72727,58666400028.333336,60329762503.57143,69762605631.42857,47474863374.28571,40251892625.833336,42529154196.42857,47606623552.14286,78480904196.25,38967441367.083336,35265201175.0,41025010910.35714,36455029893.181816,38721806143.46154,49314150980.35714,51739607379.28571,83205486943.57143,84485491008.33333,90531207690.0,71168306085.38461,61823218332.72727,49925482611.66666,64917606180.0,103333229504.28572,82782801382.5,88977636088.33333,48710997987.14286,86165569214.28572,88139267323.07692,72870447130.83333,75787424865.0,89454190269.28572,81755034966.36363,67583421076.15385,61862891156.42857
1041,010780,아이에스동서,321661696478.5714,453645734100.0,292751753503.8461,360415610653.8461,390754215482.1429,258873527867.14285,329382549900.0,261138385227.27277,298468739153.5714,351450815978.5714,407491942459.0909,416728503862.5,611619258632.1428,700895425950.0,985685487782.1428,1259228637150.0,1789535758371.4285,2037975493371.4285,1511283965908.3333,1092169387350.0,1181186938628.5715,1510552556400.0,1595445039418.182,1359959382938.4614,1321235459064.2856,1406123519978.5715,1026659540846.4286,1093312841316.6666,941128230992.8572,876814296711.5385,1151207281050.0,958767466158.3334,989532028175.0,1191571945714.2856,948660442583.3334,982771028375.0,655474900878.5714,912655845828.5714,1261368866523.077,1577711132258.3333,1691811501442.8572,1809644727185.7144,1523707580481.818,1349056340476.923,1780076090014.2856
1042,069920,아이에스이커머스,16646914971.428572,14937473702.857143,14052805144.615383,13301008984.615383,16315766662.857143,15774294428.571428,18982853040.0,15668115425.454546,15595295342.857143,16190467302.857143,17052103810.90909,15761615326.666666,14843499182.857143,15058298085.714285,27615083948.57143,26719009916.666668,65723887303.57143,198942716142.85715,162482248921.66666,190207563315.0,164456553737.14285,126814154386.07144,116726975475.0,114685848035.0,97163133449.64284,112845188468.57144,125447327975.35716,99483700955.83331,89180867211.07143,109955927717.3077,104990492695.0,103852989382.08331,109136532807.5,103067823543.92856,118651163322.08331,108523602196.66669,101949563995.0,107649811036.42856,99451360132.3077,104467634290.0,100870391011.42856,94589050825.0,112696852363.63635,81253708138.46153,131400840375.71428
1043,101390,아이엠,89999017893.21428,69065968418.57143,62613518164.61539,116846333769.23076,142097805012.85715,102227574512.14284,110941713079.28572,130157780312.72728,120990449445.0,112956694069.28572,103613319998.18182,72753025745.0,62065339779.64286,63576575522.14286,75574871417.14285,53526748798.75,73782323393.57143,64924257612.85714,62884198396.25,68326173570.0,78202612417.5,64827352446.42857,94263795102.27272,67720372165.38461,91352144995.71428,98188239150.0,85467299792.14285,70255378012.5,69142900426.07143,37295904101.53846,64162744460.454544,44366280627.5,46683221182.5,60780204619.28571,50104828400.0,44211177587.5,25967249550.0,31712616610.714287,34109825487.692307,33901686912.5,46615707465.42857,90398956641.07144,75832945222.27272,44515881198.46154,55207783471.42857
1044,031310,아이즈비전,17834274744.285713,27416113449.285717,16904559503.23077,20674204689.23077,25624799687.857143,20577576007.857143,20898660550.0,14748790560.363636,19141145161.42857,20836696866.42857,25601755342.727272,23934881045.0,41538200241.42857,42445123246.42857,48596427106.42857,46903691932.5,39673656672.14286,65867395636.42857,44222354352.5,51924627989.16666,49801902405.0,49875132212.85714,65814649690.90909,65134664245.38461,66999641127.14286,61451074916.42857,44856073843.57143,47021986237.5,55710984592.85714,63793995455.38461,85974867003.63637,76733572510.0,75291508601.42857,93553896068.57144,72474977530.0,51924627989.16666,38732935294.28571,62115776249.28571,61555503222.30769,60941282792.5,69545785215.71428,80428861275.71428,69667804115.45454,69471215125.38461,64644027492.85714
1045,059100,아이컴포넌트,61908758389.28571,43236632780.71429,30664959200.0,67926857873.07692,68270955771.42857,61882348699.28571,60949774407.85714,64483430277.27273,64308768846.42857,67565040385.71429,65239017872.72727,59407797705.0,63657716805.0,75079538839.28572,87340403828.57143,104619792070.83331,145443836317.85715,125611901339.28572,93973720312.5,86684354166.66667,134199924553.57144,99295331357.14284,101209718818.18182,89799922000.0,73562197071.42857,68203495314.28571,50738471114.28571,52895925183.333336,47475774285.71429,53994174784.61539,56354754200.0,44192875000.0,43990850428.57143,47021219000.0,45465629800.0,38736528033.333336,21010555428.57143,29013253764.285717,31185212161.53846,28869732141.666668,41758478914.28571,59435628914.28571,57929627563.63636,50442427415.38461,43763572785.71429
1046,052460,아이크래프트,11945760394.285715,12132727508.571428,12040682160.0,10092241440.0,13041675325.714285,20431190965.714287,21688185257.142857,17187899890.909092,26483172634.285717,21265351937.142857,21723748232.727272,16752253440.0,20442696634.285717,21869399537.142857,26195530920.0,24128345800.0,28295315434.285717,115775790000.0,101949811600.0,80264502760.0,69620800525.71428,58627134205.71429,61517671941.81818,53162384160.0,53443830514.28571,46885599428.57143,40640897811.42857,50679593640.0,50757256902.85714,46012938720.0,43919751861.81818,39611853120.0,42326494560.0,51722527680.0,48023589600.0,42235194960.0,30201907680.0,66977386560.0,57808097501.53846,60951612960.0,102547710720.0,123134466240.0,78245417192.72728,65432316406.15385,63805377600.0
1047,119830,아이텍반도체,27780958542.142857,19280911694.285717,14741600180.0,16402484462.307692,18711637381.42857,15024376962.857143,16665226452.857143,12279142070.90909,13508172502.142857,15106233400.0,15103865651.818182,14231547759.166666,13327716265.714285,13831877503.571428,15130418256.428572,13233147275.833334,16170367082.857143,16879169413.571428,15957044246.666666,39545340883.333336,44366188931.42857,50631927120.0,34081367329.090908,33089462975.384617,32092481118.57143,30150383120.0,26404175427.142857,25885228398.33333,27469393838.57143,87997205460.0,93163271600.0,87898908650.0,81969600828.57143,,,,,,,,,,,,
1048,004870,아인스,10690604241.785715,20412787575.0,12715466491.538462,10283884768.846151,11954905100.0,10635612000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,040740,아인스M&M,74302371070.0,16084410889.0,14181268014.923077,15385139386.923077,14501177890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,033660,아주캐피탈,227860285714.2857,245720950300.0,282174058311.53845,297445852196.1539,310747806000.0,277083460350.0,275850334135.7143,242346668568.18185,260497912767.85715,318968647428.5714,288461852236.36365,290319015050.0,286393563267.8571,385146420928.5714,439609495392.8571,379706964183.3333,339726272035.7143,405575211878.5714,395436174116.6667,383303582308.3333,361593710235.7143,369197988557.1429,413545691318.1818,414684536553.8461,383132314778.5714,436280054614.2857,458558534885.7143,416728153416.6667,415275804764.2857,486971027607.6923,490290982800.0,513309338800.0,578706132364.2858,658694919464.2858,629647946416.6666,725317988541.6666,623797447600.0,661777735000.0,694534626230.7693,741143108291.6666,,,,,
1051,032080,아즈텍WB,35708997542.85714,39438796971.42857,35319510584.61539,30983667876.92308,39305954800.0,74744158685.71428,43174618865.71429,33186947391.81818,39660945020.0,32765323620.0,31863432961.81818,29253561592.5,25608335925.0,24368236270.0,34817327085.0,33341868380.0,40990051899.64286,36383911837.5,36779243476.25,46157587740.0,48244774615.71429,63198388298.21429,69340912528.63637,79784027043.46153,62629874509.28571,58438391899.28571,41986109817.85714,42792049350.0,45867299914.28571,40666860623.07692,38924047407.27273,36822079125.0,40062920104.28571,41385153342.85714,40707590764.16666,39525584169.16666,29235474807.5,32981054147.5,35071706171.92308,39847949604.16666,54280198960.0,61165003607.5,137288600711.81818,74243239414.61539,66798723352.5
1052,013780,아큐텍반도체,9104715707.142857,18956694721.42857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,056730,아큐픽스,82522080983.57143,57127025952.85714,48332003305.38461,62746299660.0,79448405967.85715,41670638153.57143,42963120341.07143,30016309938.636364,26969050871.42857,23980847212.5,21437504493.18182,15766740703.333334,17848372766.785713,15724137728.571428,14926857505.714285,41214647556.66666,49667890692.14286,30787402368.214287,49308852765.0,103636733978.75,87124457161.07143,71891266662.14285,48796557081.0,,,,,,,,,,,,,,,,,,,,,,
1054,030530,아토,725439500922.8572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,023890,아트라스BX,252670714285.7143,272277857142.85715,178812115384.6154,230087307692.30768,230318571428.57144,218946428571.42856,300544821428.5714,290512500000.0,313910357142.8571,367830000000.0,344830227272.7273,366838750000.0,374855892857.1429,375705535714.2857,395770178571.4286,348424375000.0,381816428571.4286,351719464285.7143,356735625000.0,367105625000.0,451846607142.8571,494034642857.1429,523712727272.7273,478615384615.38464,473055000000.0,496910357142.8571,449755178571.4286,451857500000.0,427729821428.5714,437545961538.4616,493684090909.0909,470157500000.0,563509285714.2858,,,,,,,,,,,,
1056,007190,아트원제지,35762923100.35714,25493215749.642857,25731911200.384617,26089374079.615383,27313800500.357143,27535087044.642857,46975045321.78571,30783751780.0,29292076801.42857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,007197,아트원제지2우B,5161032771.428572,4465100628.571428,4511032150.0,4019382857.692308,4083729814.285714,3461566478.571429,2453616625.357143,1447537984.5454545,1315350556.4285717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,007195,아트원제지우,742320160.7142857,573212007.1428572,505521253.84615386,509988457.6923077,487355614.2857143,352782953.5714286,369568360.7142857,269029560.0,254482207.14285716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
