기업명,자산총계,부채총계,자본총계,당기순이익,연도
오스코텍,48967314569,17778798890,31188515679,-28589754575,2021
CJ CGV,3.78549E+12,3.48421E+12,3.01285E+11,-3.38788E+11,2021
아이마켓코리아,1.12016E+12,7.03386E+11,4.16774E+11,44499433381,2021
KTcs,4.1675E+11,2.34172E+11,1.82578E+11,19034234222,2021
CMG제약,1.99175E+11,14472098819,1.84702E+11,3165485154,2021
LG전자,5.34815E+13,3.33834E+13,2.0098E+13,1.41497E+12,2021
하이스틸,2.59715E+11,1.21887E+11,1.37828E+11,11512024632,2021
위메이드,1.0273E+12,3.83599E+11,6.43701E+11,3.08091E+11,2021
로보스타,1.247E+11,38614390784,86085239399,1634178209,2021
HLB테라퓨틱스,1.89711E+11,59671893469,1.30039E+11,-17764300601,2021
진도,1.36445E+11,35781861962,1.00663E+11,3568236830,2021
메디톡스,5.77698E+11,1.74134E+11,4.03565E+11,93262649042,2021
아모레퍼시픽,6.11671E+12,1.37241E+12,4.7443E+12,1.80858E+11,2021
SK이노베이션,4.95574E+13,2.99242E+13,1.96332E+13,1.31701E+12,2021
HJ중공업,2.38524E+12,1.95323E+12,4.32005E+11,-1.39844E+11,2021
화인베스틸,1.83239E+11,1.03741E+11,79497866667,2374205660,2021
알서포트,93900528494,10522139636,83378388858,24519445929,2021
레고켐바이오,2.93233E+11,34458706029,2.58775E+11,-23391227602,2021
미원화학,1.33843E+11,13888347755,1.19955E+11,11350187321,2021
넷마블,1.06638E+13,4.65612E+12,6.00766E+12,2.49178E+11,2021
한국타이어앤테크놀로지,1.17039E+13,3.49878E+12,8.20514E+12,6.04336E+11,2021
서연이화,1.79053E+12,1.09279E+12,6.97739E+11,29743240654,2021
디와이파워,3.42046E+11,1.16073E+11,2.25973E+11,31055613734,2021
원익IPS,1.16759E+12,3.66546E+11,8.0104E+11,1.45117E+11,2021
현대에너지솔루션,6.05559E+11,2.85239E+11,3.20319E+11,-6655574104,2021
한일시멘트,2.37033E+12,9.1195E+11,1.45838E+12,86015249051,2021
경농,3.88786E+11,1.51976E+11,2.36809E+11,24475007708,2021
고려제강,2.47427E+12,8.36162E+11,1.63811E+12,1.33312E+11,2021
인지컨트롤스,5.43367E+11,3.46846E+11,1.96522E+11,2392417371,2021
국도화학,1.41637E+12,6.01421E+11,8.14945E+11,1.57086E+11,2021
케이씨씨,1.28789E+13,7.5028E+12,5.37607E+12,-53211168479,2021
LG이노텍,7.74135E+12,4.42715E+12,3.31421E+12,8.88282E+11,2021
기신정기,2.59583E+11,15480427091,2.44103E+11,9775236517,2021
휴니드테크놀러지스,2.6734E+11,1.34159E+11,1.33181E+11,13016423829,2021
KR모터스,1.68437E+11,1.18211E+11,50225636296,-11924557643,2021
깨끗한나라,5.98691E+11,3.69205E+11,2.29487E+11,8362663525,2021
대한항공,2.66719E+13,1.98062E+13,6.86569E+12,5.78782E+11,2021
동방아그로,2.04467E+11,57352105712,1.47115E+11,7006595602,2021
TYM,7.07428E+11,4.58227E+11,2.49201E+11,39502410981,2021
진원생명과학,2.49495E+11,44040925311,2.05454E+11,-15951499509,2021
동진쎄미켐,1.18619E+12,6.25156E+11,5.61033E+11,1.02879E+11,2021
GS건설,1.51837E+13,1.0311E+13,4.87272E+12,4.28803E+11,2021
롯데지주,1.99219E+13,1.02926E+13,9.6293E+12,1.50434E+11,2021
만호제강,2.58242E+11,25179106999,2.33063E+11,865459841,2021
명문제약,2.23263E+11,1.37389E+11,85873708987,-6804256793,2021
방림,2.5708E+11,57282434832,1.99798E+11,7444411735,2021
인스코비,1.0935E+11,43461356421,65888588857,5088299660,2021
AK홀딩스,4.54874E+12,3.34638E+12,1.20236E+12,-1.99326E+11,2021
에스엘,2.56749E+12,1.04902E+12,1.51847E+12,96212544698,2021
체시스,81159742752,47882838179,33276904573,-2311455896,2021
삼성엔지니어링,6.05872E+12,4.0982E+12,1.96052E+12,3.51071E+11,2021
삼화페인트공업,6.12098E+11,3.16176E+11,2.95922E+11,-2425671290,2021
성신양회,1.1216E+12,7.07589E+11,4.14006E+11,6509058513,2021
SG세계물산,3.08413E+11,64147888831,2.44265E+11,46959184631,2021
신도리코,1.0226E+12,73933347993,9.48668E+11,95437496353,2021
신송홀딩스,2.4819E+11,1.52906E+11,95283806748,7466832569,2021
에스엠코어,92845267334,24011632396,68833634938,-578450986,2021
지투알,5.64897E+11,4.03733E+11,1.61164E+11,17307682640,2021
우신시스템,3.09606E+11,2.20359E+11,89247153048,-12911457219,2021
에이엔피,82030110765,52058401194,29971709571,-11948327703,2021
유유제약,1.92985E+11,64300209429,1.28685E+11,-920289067,2021
아센디오,68072817657,22883799888,45189017769,-6577827246,2021
일동홀딩스,9.20763E+11,7.37423E+11,1.8334E+11,-1.34696E+11,2021
하이트진로,3.63105E+12,2.53789E+12,1.09316E+12,71771637523,2021
센트럴인사이트,32380760342,10304561462,22076198880,-6586412072,2021
한국단자공업,1.12516E+12,2.82996E+11,8.42167E+11,62880355775,2021
한솔테크닉스,7.8867E+11,5.10394E+11,2.78276E+11,-9345850145,2021
유나이티드,3.80033E+11,79323819798,3.00709E+11,28648749061,2021
한화,2.02366E+14,1.81319E+14,2.10473E+13,2.16206E+12,2021
한농화성,2.1697E+11,69259917547,1.4771E+11,19695591321,2021
한미반도체,4.29286E+11,82473641150,3.46812E+11,1.04438E+11,2021
한진중공업홀딩스,1.8378E+12,1.4892E+12,3.486E+11,-7510000000,2021
유수홀딩스,5.01707E+11,93662171614,4.08045E+11,39167182400,2021
동일산업,4.73765E+11,71727779886,4.02037E+11,43781037304,2021
미래산업,1.17722E+11,33079604002,84642274975,7490277072,2021
BGF,1.98162E+12,2.48859E+11,1.73276E+12,35977028709,2021
네패스,1.10486E+12,8.3804E+11,2.66821E+11,-29152270603,2021
티씨케이,3.89706E+11,50193523554,3.39512E+11,81890628054,2021
대원전선,2.40574E+11,1.52929E+11,87644896846,1304381307,2021
케이티알파,3.91553E+11,1.7334E+11,2.18212E+11,-8913078746,2021
주연테크,59714398945,14445524837,45268874108,3115174580,2021
현대로템,4.10718E+12,2.83894E+12,1.26825E+12,51411601000,2021
새론오토모티브,2.68378E+11,29993561554,2.38385E+11,14025569682,2021
다스코,2.98527E+11,1.73178E+11,1.25349E+11,-599608227,2021
LG화학,5.11353E+13,2.79253E+13,2.321E+13,3.9539E+12,2021
NHN한국사이버결제,4.10848E+11,2.48056E+11,1.62792E+11,30338297024,2021
현대글로비스,1.21709E+13,6.35852E+12,5.81241E+12,7.83176E+11,2021
HSD엔진,7.95625E+11,5.86523E+11,2.09101E+11,-39738223201,2021
유니온머티리얼,1.8667E+11,1.02789E+11,83880737291,543550735,2021
현대홈쇼핑,2.60034E+12,7.17966E+11,1.88237E+12,1.01665E+11,2021
세이브존I&C,5.64255E+11,1.06318E+11,4.57936E+11,7411012891,2021
대웅제약,1.41518E+12,7.12772E+11,7.02407E+11,30257002685,2021
메타랩스,85034044701,28601817313,56432227388,-14647574283,2021
이아이디,5.19321E+11,2.61616E+11,2.57705E+11,5899625354,2021
금호타이어,4.34221E+12,3.06064E+12,1.28157E+12,-71850672717,2021
GS,3.11913E+13,1.69883E+13,1.42029E+13,1.61468E+12,2021
비상교육,2.71515E+11,71577714119,1.99937E+11,6033786742,2021
동양고속,1.6883E+11,84315063665,84514490803,-23943626892,2021
아미코젠,4.11224E+11,1.78351E+11,2.32874E+11,4740596369,2021
KPX홀딩스,1.81486E+12,4.45438E+11,1.36942E+12,82325362935,2021
와이지엔터테인먼트,6.21484E+11,1.3872E+11,4.82763E+11,22861681902,2021
에어부산,1.00974E+12,8.79206E+11,1.30532E+11,-2.65961E+11,2021
일진전기,8.37943E+11,5.14885E+11,3.23058E+11,13986184916,2021
LX하우시스,2.54739E+12,1.68397E+12,8.63418E+11,12664000000,2021
씨젠,1.48972E+12,4.06122E+11,1.0836E+12,5.37561E+11,2021
메지온,83934573674,21141075417,62793498257,-13602674400,2021
사람인에이치알,1.93599E+11,41770247685,1.51828E+11,31821611244,2021
이마트,3.12421E+13,1.88418E+13,1.24003E+13,1.58907E+12,2021
삼성바이오로직스,7.97001E+12,2.97891E+12,4.9911E+12,3.93589E+11,2021
두산밥캣,8.5809E+12,4.25963E+12,4.32127E+12,3.85889E+11,2021
삼양패키징,6.12487E+11,2.91246E+11,3.21241E+11,30302000000,2021
와이즈버즈,61665195111,21138558874,40526636237,2714624174,2021
롯데제과,2.66665E+12,1.33968E+12,1.32697E+12,36348659698,2021
강남제비스코,9.04011E+11,2.42084E+11,6.61927E+11,47442441436,2021
에이프로젠제약,6.14621E+11,17440224078,5.97181E+11,9151011432,2021
경인전자,65884752780,6287918773,59596834007,3699859217,2021
고려산업,2.38595E+11,1.31754E+11,1.06841E+11,4520564728,2021
극동유화,3.21935E+11,1.39852E+11,1.82083E+11,11007701446,2021
현대그린푸드,3.10999E+12,8.99516E+11,2.21047E+12,41339272000,2021
금호전기,83849543774,65486927043,18362616731,-9883907411,2021
대구백화점,4.866E+11,2.32567E+11,2.54032E+11,-5831920022,2021
대림통상,1.65802E+11,89665370599,76137060888,340647786,2021
대양금속,1.57542E+11,57964910118,99577456831,15243418346,2021
디아이씨,6.28866E+11,4.96346E+11,1.3252E+11,29487084295,2021
대한제분,1.3216E+12,4.4098E+11,8.80618E+11,87295095400,2021
케이비아이동국실업,5.68005E+11,3.97931E+11,1.70074E+11,-23735748807,2021
TCC스틸,3.66997E+11,2.11767E+11,1.55229E+11,28723275024,2021
동원산업,3.0519E+12,1.56502E+12,1.48689E+12,1.71466E+11,2021
동원수산,1.00942E+11,43921847293,57020153926,7350567816,2021
LG,2.56698E+13,3.72958E+12,2.19402E+13,2.68397E+12,2021
롯데푸드,1.2715E+12,4.85466E+11,7.86032E+11,-1046852852,2021
문배철강,2.09839E+11,66845641809,1.42994E+11,25376074458,2021
포스코인터내셔널,1.07707E+13,7.25859E+12,3.51214E+12,3.56488E+11,2021
