종목코드,종목명,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
078935,GS우,42858379493.40659,39279645118.344154,48303543801.13637,52631650269.64285,55646465734.82143,61535275275.63686,72126624733.92857,68899199969.48676,66337095396.42857,52630771749.519226,64024425531.705795,62118319178.57143
028150,GS홈쇼핑,809315805288.4615,764123224431.8182,1563990411931.818,1569919921875.0,1307466796875.0,1131456129807.6924,1437548828125.0,1248200502622.3777,1096197265625.0,803977013221.1538,996117187500.0,
053870,GT&T,7614945054.945055,8081649350.64935,5680690476.190476,7355119047.619048,8066666666.666667,,,,,,,
035000,지투알,156869923077.15662,121364608419.78897,130335035608.85822,132929296420.20833,155493022707.38095,140947707904.67157,165928024989.13693,135248026820.64186,124741248984.07738,82860447223.79349,108481958345.0562,106575775324.28572
032800,판타지오,23567677436.95055,38785513929.46429,20099224847.247025,34339787764.330357,50777929321.55357,91219182376.16011,80366128324.53868,55240912258.14178,50153170584.60119,61166436441.02679,60644062252.94455,47632837747.14286
041590,젬백스지오,23294602408.461536,24551156387.09416,54404776673.11688,53896946639.01785,244579553647.3512,139642509417.86462,138926264861.9643,135386883731.15323,75797514134.63095,54841449360.92147,83860480966.52261,263243985237.85715
126640,화신정공,40341679266.81319,53218152831.85065,57457994946.535446,56751676168.34821,53223332363.4375,60390054760.92033,55143786992.54464,46888743633.53365,43883579086.875,41838122530.62569,83389861263.7088,71461697281.07143
001500,현대차증권,476558801186.5385,410895767166.7208,336210038960.5276,311767050227.9464,319094342951.5178,291494458091.80066,334285902305.3571,287762457384.85077,301519143328.9286,279683010421.19507,401127354908.6476,349404477750.0
036640,HRS,61264901076.92308,48029082750.0,53432361750.0,61279147875.0,69389863125.0,62600886865.38461,68109223875.0,61345429269.230774,44618182125.0,56142812105.769226,108146012884.61539,137649006000.0
007720,대명소노시즌,98951782480.85715,73598729207.14285,69326000398.78247,85737382754.4643,129893079877.23215,151228493306.0065,243028084941.96426,257960913843.84366,197049879683.0357,109142379548.28296,145448201766.983,123768552535.71428
126680,IBKS스팩1호,19279811868.131866,20265802597.4026,21894171428.571434,,,,,,,,,
011420,갤럭시아에스엠,39897266644.12088,43504283755.129875,35958490162.3052,42532480021.07143,63573042977.7381,70550104014.42058,75428219503.39285,52157124434.13794,49846407217.67857,34977231112.72436,63274046250.84915,70418857895.71428
003560,IHQ,95791118960.19232,103597457418.40909,99425047199.14774,113768455341.04166,304664333683.7947,324757795355.6225,290885856960.8482,322619933134.77527,286051920752.9762,209876521075.87088,257662165270.7143,181442623096.42856
095340,ISC,47311246153.84615,70432660064.93506,115599571293.29004,194062580341.9643,413911876941.6667,289127095547.10284,297575722286.6072,192080923180.6352,128448573225.95236,242393424277.13373,414170487272.2278,506200324164.2857
036420,제이콘텐트리,220074323486.72388,240245685738.85553,298580919328.37256,239025852584.64285,430690245385.5357,466510442638.1231,491080547150.71423,774269628716.1982,633168164947.0834,466107448201.5797,847467879035.808,1030148567707.1428
099520,ITX-AI,12701327113.681318,16987998554.415585,57389076547.37284,47832138383.39286,32488558945.580357,26050761859.699677,22841576115.982143,23666650003.626373,25822421864.642857,49974053437.68201,42445580802.85715,37652662655.0
067000,조이시티,291860238051.8544,355487273404.6266,213891717540.94968,255374869626.3393,329829753973.9583,311853161905.0325,187673360633.18454,157875703234.64557,99403808409.67262,267775514664.70465,500568837344.83264,549651175765.7143
065310,디테크놀로지,25950094875.005493,23026333800.0,,,,,,,,,,
005560,JS전선,87641786400.0,98350609854.54546,76125071927.27274,60306792000.0,,,,,,,,
096760,JW홀딩스,126078135127.1085,123514563980.15422,129284073098.85146,139967195183.3482,411455452454.4643,657908035464.6392,527504771057.97614,506598362273.038,416286568290.0,361526803061.6987,291290858378.89734,290181871072.8571
105560,KB금융,17482944811125.0,15365539243592.613,14539712499805.113,14419082128127.084,14041296864034.375,14614714821498.775,23304616231494.938,22572999359340.53,18826354387158.63,15506056117054.945,22686359132126.37,24367087020442.85
024120,KB오토시스,55788269230.769226,53798250811.68831,54011635551.94805,48966726190.47619,59701770833.333336,76922061063.93607,83698437500.0,69679854208.29172,67776071428.57143,69555622710.62271,93966689560.43954,68761785714.28572
002380,KCC,3126029560439.5605,3142610909090.909,4021661369047.619,6233006071428.571,4931063983936.012,4087447427382.5547,4010061121294.6426,3486210422035.4854,2771053244306.548,1350986708594.437,2862512302306.319,2946499884428.572
