,기업명,기업코드
552,한국프랜지공업,010100
553,한국항공우주,047810
554,한국화장품,123690
555,한국화장품제조,003350
556,한농화성,011500
557,한독,002390
558,한라,014790
559,한라홀딩스,060980
560,한미글로벌,053690
561,한미반도체,042700
562,한미사이언스,008930
563,한미약품,128940
564,한샘,009240
565,한섬,020000
566,한성기업,003680
567,한세실업,105630
568,한세엠케이,069640
569,한세예스24홀딩스,016450
570,한솔로지스틱스,009180
571,한솔제지,213500
572,한솔케미칼,014680
573,한솔테크닉스,004710
574,한솔피엔에스,010420
575,한솔홀딩스,004150
576,한솔홈데코,025750
577,한신공영,004960
578,한신기계공업,011700
579,한양증권,001750
580,한온시스템,018880
581,한올바이오파마,009420
582,한익스프레스,014130
583,한일시멘트,300720
584,한일철강,002220
585,한일현대시멘트,006390
586,한전KPS,051600
587,한전기술,052690
588,한전산업,130660
589,한진,002320
590,한진중공업홀딩스,003480
591,한진칼,180640
592,한창,005110
593,한창제지,009460
594,한화,000880
595,한화생명,088350
596,한화손해보험,000370
597,한화에어로스페이스,012450
598,한화투자증권,003530
599,해성디에스,195870
600,해태제과식품,101530
601,핸즈코퍼레이션,143210
602,현대건설,000720
603,현대그린푸드,005440
604,현대글로비스,086280
605,현대로템,064350
606,현대리바트,079430
607,현대모비스,012330
608,현대미포조선,010620
609,현대백화점,069960
610,현대비앤지스틸,004560
611,현대약품,004310
612,현대엘리베이터,017800
613,현대위아,011210
614,현대자동차,005380
615,현대제철,004020
616,현대차증권,001500
617,현대코퍼레이션홀딩스,227840
618,현대해상,001450
619,현대홈쇼핑,057050
620,형지엘리트,093240
621,혜인,003010
622,호텔신라,008770
623,화성산업,002460
624,화승엔터프라이즈,241590
625,화승인더스트리,006060
626,화신,010690
627,화인베스틸,133820
628,화천기계,010660
629,화천기공,000850
630,환인제약,016580
631,황금에스티,032560
632,효성,004800
633,효성 ITX,094280
634,후성,093370
